,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
KATNBL1,2907,2838,3316,1822,1678,2491
EMC7,3959,3876,3321,2050,2348,3580
TRPM1,0,0,0,0,6,0
GNAT2,9,10,4,24,6,18
GSTM1,7,11,736,11,9,322
PRPF38B,1547,1552,2093,1731,1875,1251
REG4,0,0,0,0,0,2
TSPAN2,35,51,45,72,76,4
TSHB,0,0,0,0,0,0
GSTM5,0,1,0,0,4,0
GSTM3,455,489,871,573,691,1802
SYT6,0,0,0,0,2,0
VAV3,433,438,902,2137,1892,1132
CHIA,61,58,0,17,15,0
PSRC1,270,305,243,264,229,567
HMGCS2,501,524,1153,347,322,1734
PTPN22,1,6,61,33,49,16
SORT1,8824,8525,6638,6190,5345,4284
WNT2B,33,67,280,488,273,112
PTGFRN,1596,1789,1303,1231,1583,2456
